PREDICATION_ID,SENTENCE_ID,PMID,PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,SUBJECT_NOVELTY,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,OBJECT_NOVELTY
61,128,14420371,ISA,C0026879,Mutagens,hops,1,C0220806,Chemicals,chem,1
62,116,5659339,PART_OF,C0017725,Glucose,bacs,1,C0022378,jejunum,bpoc,1
63,146,12255310,PROCESS_OF,C0006147,Breast Feeding,orgf,1,C0020114,Human,humn,1
64,170,12305488,TREATS,C0279494,Oestrogen therapy,topp,1,C0043210,Woman,popg,1
65,116,5659339,PROCESS_OF,C0232338,Blood flow,orgf,1,C0012984,Canis familiaris,mamm,1
66,120,14185243,LOCATION_OF,C0006104,Brain,bpoc,1,C0041249,Tryptophan,aapp,1
67,134,13670501,PROCESS_OF,C0006434,Burn injury,inpo,1,C0728836,Young child,humn,1
68,147,12305418,METHOD_OF,C0042387,Vasectomy,topp,1,C0038288,Sexual sterilization,topp,1
69,167,14457919,TREATS,C0037766,Antispasmodics,phsu,1,C0002962,Angina Pectoris,sosy,1
70,242,14934087,LOCATION_OF,C0036471,Scrotum,bpoc,1,C0016085,Filariasis,dsyn,1
71,218,13930366,LOCATION_OF,C0037993,Spleen,bpoc,1,C0017086,Gangrene,dsyn,1
72,136,5867984,PROCESS_OF,C0023290,"Leishmaniasis, Visceral",dsyn,1,C0020114,Human,humn,1
73,221,6014351,LOCATION_OF,C1269901,Entire foramen magnum,bsoj,1,C0000768,Congenital Abnormality,cgab,1
74,158,4966828,INTERACTS_WITH,C0024337,Lysine,aapp,1,C0038404,Enterococcus faecalis,bact,1
75,127,13997680,LOCATION_OF,C0005767,Blood,tisu,1,C0007061,Carboxyhemoglobin,aapp,1
76,163,13155021,LOCATION_OF,C0003483,Aorta,bpoc,1,C0332886,Coarctation,anab,1
77,145,13974537,PART_OF,C0018563,Hand,bpoc,1,C0020114,Human,humn,1
78,148,5776108,LOCATION_OF,C0022646,Kidney,bpoc,1,C0221198,Lesion,fndg,1
79,181,13070168,ISA,C0025629,metharbital,orch,1,C0004743,Barbital,orch,1
80,141,13738542,PROCESS_OF,C1457887,Symptoms,sosy,0,C0030705,Patients,humn,0
81,256,13638644,LOCATION_OF,C0021853,Intestines,bpoc,1,C0010709,Cyst,anab,1
82,216,5876094,LOCATION_OF,C0007806,Cerebrospinal Fluid,bdsu,1,C0022714,Kinins,aapp,1
83,207,14812403,TREATS,C0396565,Lung excision,topp,1,C0041327,"Tuberculosis, Pulmonary",dsyn,1
84,223,13384308,PROCESS_OF,C0005778,Blood coagulation,ortf,1,C0030705,Patients,humn,0
85,243,12275609,COEXISTS_WITH,C0009637,Conception,orgf,1,C0006147,Breast Feeding,orgf,1
86,163,13155021,TREATS,C0011900,Diagnosis,hlca,1,C0008059,Child,humn,1
87,254,13502773,LOCATION_OF,C0042036,Urine,bdsu,1,C0016581,Formiminoglutamic Acid,bacs,1
88,148,5776108,DIAGNOSES,C0194073,Kidney biopsy,diap,1,C0032914,Pre-Eclampsia,dsyn,1
89,213,11396507,PART_OF,C0221921,Stratum corneum,tisu,1,C0020114,Human,humn,1
90,186,18856411,PROCESS_OF,C1458155,Mammary Neoplasms,neop,1,C0025920,"Mice, Inbred C3H",mamm,1
91,174,12254865,PROCESS_OF,C0702166,Acne,dsyn,1,C0043210,Woman,humn,1
92,163,13155021,TREATS,C1273870,Management procedure,hlca,1,C0008059,Child,humn,1
93,285,14772444,LOCATION_OF,C0042149,Uterus,bpoc,1,C0036690,Septicemia,dsyn,1
94,289,4958141,PART_OF,C0040291,Tissue Extracts,bacs,1,C0085979,Cavia,mamm,1
95,212,13789574,ISA,C1010578,Spermophilus tridecemlineatus,mamm,1,C0037877,Susliks,mamm,1
96,216,5876094,LOCATION_OF,C0007806,Cerebrospinal Fluid,bdsu,1,C0054012,bradykininogen,aapp,1
97,234,11526826,PART_OF,C1304649,Tissue fiber,tisu,1,C0327011,Toad,amph,1
98,148,5776108,COEXISTS_WITH,C0221198,Lesion,fndg,1,C0032914,Pre-Eclampsia,dsyn,1
99,243,12275609,COEXISTS_WITH,C0025344,Menstruation,orgf,1,C0006147,Breast Feeding,orgf,1
100,265,12264098,PROCESS_OF,C0027651,Neoplasm,neop,1,C0026809,Mus,mamm,1
101,293,12332297,PART_OF,C0029974,Ovum,cell,1,C0020114,Human,humn,1
102,313,14934088,LOCATION_OF,C0037925,Spinal Cord,bpoc,1,C0221198,Lesion,fndg,1
103,278,12255535,TREATS,C0021587,Artificial Insemination,topp,1,C1522384,sex,orga,1
104,348,14087163,LOCATION_OF,C0042036,Urine,bdsu,1,C0004965,Bence Jones Protein,aapp,1
105,307,13930367,ISA,C0008059,Child,inpr,1,C0018684,Health,idcn,1
106,310,5585326,PROCESS_OF,C0021311,Infection,dsyn,0,C0020114,Human,humn,1
107,269,6029542,PROCESS_OF,C0018854,gamma-Chain Disease,dsyn,1,C0524824,Brassicaceae,plnt,1
108,367,5933793,LOCATION_OF,C1269010,Entire aortic arch,bpoc,1,C0851256,Pseudocoarctation,anab,1
109,323,14216905,PROCESS_OF,C0035435,Rheumatism,dsyn,1,C0030705,Patients,humn,0
110,364,12334535,PART_OF,C0006826,Malignant Neoplasms,neop,0,C0014180,Endometrium,bpoc,1
111,320,13297195,CAUSES,C0003232,Antibiotics,antb,1,C0014356,Enterocolitis,dsyn,1
112,338,14439951,PART_OF,C0025635,Methemoglobin,aapp,1,C0034693,Rattus norvegicus,mamm,1
113,337,12233285,LOCATION_OF,C1280344,Entire vas deferens,bpoc,1,C0332853,Anastomosis,acab,1
114,346,13582798,LOCATION_OF,C0227391,Sigmoid colon,bpoc,1,C1401877,vagina; artificial,fndg,1
115,327,14055630,PROCESS_OF,C0151763,Liver damage,patf,1,C0741926,CARDIAC PATIENT,humn,1
116,200,13867926,LOCATION_OF,C0022646,Kidney,bpoc,1,C0042036,Urine,bdsu,1
117,294,14268251,AFFECTS,C0038425,Streptomycin,antb,1,C0178784,Organ,bpoc,1
118,269,6029542,TREATS,C0450442,Agent,chvf,1,C0010709,Cyst,anab,1
119,381,13384310,TREATS,C0008286,Chlorpromazine,orch,1,C0917816,Mental deficiency,mobd,1
120,399,14772445,LOCATION_OF,C0227386,Transverse colon,bpoc,1,C0259974,"Labor, Complicated",dsyn,1
121,345,12305487,ISA,C0039601,Testosterone,horm,1,C0087111,Therapeutic procedure,topp,0
122,336,20285242,ASSOCIATED_WITH,C0005515,Biological Factors,bacs,0,C0596263,Carcinogenesis,neop,1
123,200,13867926,PART_OF,C0022646,Kidney,bpoc,1,C0034493,Oryctolagus cuniculus,mamm,1
124,305,12255534,PART_OF,C0037868,sperm cell,cell,1,C0020114,Human,humn,1
125,284,12255446,TREATS,C0014912,Estradiol,horm,1,C0034693,Rattus norvegicus,mamm,1
126,357,13070169,TREATS,C0012799,Mercurial diuretic,phsu,1,C0030705,Patients,podg,0
127,269,6029542,TREATS,C0450442,Agent,chvf,1,C0018854,gamma-Chain Disease,dsyn,1
128,208,16691646,ISA,C0008044,Chicago,geoa,1,C0020898,Illinois,geoa,1
129,345,12305487,USES,C0087111,Therapeutic procedure,topp,0,C0039601,Testosterone,phsu,1
130,452,12311486,PART_OF,C0024667,Animal Mammary Neoplasms,neop,1,C0939793,Bitch,mamm,1
131,420,14934089,TREATS,C0011900,Diagnosis,hlca,1,C0008059,Child,humn,1
132,374,6065069,LOCATION_OF,C0507816,Pulmonary capillary,bpoc,1,C0429627,Oxygen uptake,fndg,1
133,398,12255008,METHOD_OF,C0042387,Vasectomy,topp,1,C0700589,Contraceptive methods,topp,1
134,423,14880772,LOCATION_OF,C0005400,Bile duct structure,bpoc,1,C0175731,T-tube,medd,1
135,284,12255446,TREATS,C0018061,Gonadotropins,horm,1,C0034693,Rattus norvegicus,mamm,1
136,363,5659341,TREATS,C0001041,Acetylcholine,phsu,1,C0012984,Canis familiaris,mamm,1
137,455,12255260,PRECEDES,C1148523,Childbirth,orgf,1,C0025344,Menstruation,orgf,1
138,373,4159375,COEXISTS_WITH,C0032458,"Polycyclic Hydrocarbons, Aromatic",orch,1,C0043047,Water,inch,1
139,306,14457921,LOCATION_OF,C0005767,Blood,tisu,1,C0036751,Serotonin,orch,1
140,445,13551179,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0267750,Acute peritonitis,dsyn,1
141,306,14457921,PROCESS_OF,C0004153,Atherosclerosis,dsyn,1,C0325912,Columbidae,bird,1
142,396,5729806,USES,C0087111,Therapeutic procedure,topp,0,C0008269,Chloroquine,phsu,1
143,471,13582799,PART_OF,C0006826,Malignant Neoplasms,neop,0,C0001575,Uterine adnexae structure,bpoc,1
144,284,12255446,TREATS,C0039607,Testosterone Propionate,horm,1,C0034693,Rattus norvegicus,mamm,1
145,483,13638647,PROCESS_OF,C0033931,Psychophysiologic Disorders,mobd,1,C0008059,Child,humn,1
146,493,13670504,LOCATION_OF,C0013453,External Ear,bpoc,1,C0332952,Congenital invagination,cgab,1
147,425,12305572,PROCESS_OF,C0025874,Metrorrhagia,patf,1,C0026447,Monkeys,mamm,1
148,480,13155023,COEXISTS_WITH,C0010520,Cyanosis,sosy,1,C0243050,Cardiovascular Abnormalities,dsyn,1
149,436,13930369,PROCESS_OF,C0240318,Mediastinal mass,dsyn,1,C0008059,Child,humn,1
150,430,14812405,LOCATION_OF,C0229671,Serum,bdsu,1,C0008377,Cholesterol,bacs,1
151,385,18856412,METHOD_OF,C0034618,Radiation therapy,topp,1,C0857127,Induction,topp,1
152,475,13997693,COEXISTS_WITH,C0019147,Hepatic Coma,dsyn,1,C0019158,Hepatitis,dsyn,1
153,454,13219190,PROCESS_OF,C0151798,Hepatic necrosis,dsyn,1,C0030705,Patients,humn,0
154,469,12339641,LOCATION_OF,C0002424,Ambulatory Care Facilities,hcro,1,C0038951,Surveys,resa,1
155,487,13384311,USES,C0087111,Therapeutic procedure,topp,0,C0008286,Chlorpromazine,phsu,1
156,426,14847741,PART_OF,C0027809,Neurilemmoma,neop,1,C0038351,Stomach,bpoc,1
157,430,14812405,PART_OF,C0008377,Cholesterol,bacs,1,C0085766,Aleuts,humn,1
158,383,12279177,PROCESS_OF,C0006142,Malignant neoplasm of breast,neop,1,C0034693,Rattus norvegicus,mamm,1
159,435,12255683,PROCESS_OF,C0032961,Pregnancy,orgf,1,C0034693,Rattus norvegicus,mamm,1
160,436,13930369,PROCESS_OF,C0240318,Mediastinal mass,dsyn,1,C0021270,Infant,humn,1
161,379,12275481,INTERACTS_WITH,C0770355,NORETHYNODREL-MESTRANOL,horm,1,C0013058,Dosage Forms,bodm,1
162,451,13431634,TREATS,C0022209,isoniazid,phsu,1,C0041327,"Tuberculosis, Pulmonary",dsyn,1
163,402,11526826,PART_OF,C0018787,Heart,bpoc,1,C0327011,Toad,amph,1
164,454,13219190,TREATS,C0041964,Urethane,orch,1,C0026764,Multiple Myeloma,neop,1
165,509,13974540,LOCATION_OF,C0025066,Mediastinum,blor,1,C0010709,Cyst,anab,1
166,383,12279177,CAUSES,C0025732,Methylcholanthrene,hops,1,C0006142,Malignant neoplasm of breast,neop,1
167,426,14847741,COEXISTS_WITH,C0041582,Ulcer,patf,1,C0027809,Neurilemmoma,neop,1
168,515,6029543,PROCESS_OF,C0678108,Sterility,patf,1,C0205653,Adolescent,humn,1
169,454,13219190,PROCESS_OF,C0026764,Multiple Myeloma,neop,1,C0030705,Patients,humn,0
170,439,12983060,PART_OF,C0040426,Tooth structure,bpoc,1,C0020114,Human,humn,1
171,376,13502774,PART_OF,C0006826,Malignant Neoplasms,neop,0,C0005682,Bladder,bpoc,1
172,478,13292662,USES,C0087111,Therapeutic procedure,topp,0,C0282223,Lucanthone Hydrochloride,phsu,1
173,549,4304789,PART_OF,C1334603,Malignant Mixed Mesodermal (Mullerian) Tumor,neop,1,C0042149,Uterus,bpoc,1
174,467,12312852,PART_OF,C0042149,Uterus,bpoc,1,C0025914,House mice,mamm,1
175,567,13155024,PROCESS_OF,C0003811,cardiac arrhythmia,patf,1,C0008059,Child,humn,1
176,543,14774047,LOCATION_OF,C0014876,Esophagus,bpoc,1,C0243066,Atresia,cgab,1
177,462,12255545,PROCESS_OF,C0006147,Breast Feeding,orgf,1,C0026591,Mothers,humn,1
178,478,13292662,USES,C0087111,Therapeutic procedure,topp,0,C0301349,Sodium antimonyl gluconate,phsu,1
179,376,13502774,PART_OF,C0006826,Malignant Neoplasms,neop,0,C0023078,Larynx,bpoc,1
180,560,14150908,PART_OF,C0025500,Mesothelioma,neop,1,C0032225,Pleura,bpoc,1
181,467,12312852,CAUSES,C0014939,Estrogens,horm,1,C0027651,Neoplasm,neop,1
182,567,13155024,PROCESS_OF,C0003811,cardiac arrhythmia,patf,1,C0021270,Infant,humn,1
183,551,15394662,COEXISTS_WITH,C0015967,Fever,fndg,1,C0023891,"Liver Cirrhosis, Alcoholic",dsyn,1
184,610,12304881,AFFECTS,C0019932,Hormones,horm,1,C1513094,Melanogenesis,moft,1
185,512,5337389,PROCESS_OF,C0035203,Respiration,phsf,1,C0007450,Felis catus,mamm,1
186,477,13789574,PROCESS_OF,C0003808,Arousal,menp,1,C0037877,Susliks,mamm,1
187,612,14216908,COEXISTS_WITH,C0003892,Neurogenic arthropathy,dsyn,1,C0039144,Syringomyelia,dsyn,1
188,467,12312852,PART_OF,C0027651,Neoplasm,neop,1,C0042149,Uterus,bpoc,1
189,575,13997696,LOCATION_OF,C0734952,Wall of intestine,bpoc,1,C0025424,Mercury,elii,1
190,376,13502774,PART_OF,C0006826,Malignant Neoplasms,neop,0,C0024109,Lung,bpoc,1
191,594,13737739,PROCESS_OF,C0013395,Dyspepsia,dsyn,1,C0021270,Infant,humn,1
192,611,14877283,LOCATION_OF,C0003584,Apocrine Glands,bpoc,1,C0012634,Disease,dsyn,0
193,581,12275695,PRECEDES,C0589113,Bilateral vasectomy,topp,1,C0332853,Anastomosis,acab,1
194,612,14216908,ISA,C0003892,Neurogenic arthropathy,dsyn,1,C0263661,Disorder of skeletal system,dsyn,1
195,570,14806329,LOCATION_OF,C0024109,Lung,bpoc,1,C0013421,Dystonia,sosy,1
196,594,13737739,PROCESS_OF,C0029877,Otitis,dsyn,1,C0021270,Infant,humn,1
197,376,13502774,PART_OF,C0006826,Malignant Neoplasms,neop,0,C1522730,CNS (MMHCC),tisu,1
198,636,12332362,PART_OF,C0015965,Fetus,emst,1,C0020114,Human,humn,1
199,474,14268252,LOCATION_OF,C0042606,Vestibule,bsoj,1,C0001969,Alcoholic Intoxication,mobd,1
200,546,13189559,TREATS,C0042402,Vasodilator Agents,phsu,1,C0023223,Leg Ulcer,dsyn,1
201,538,5659342,PART_OF,C0021853,Intestines,bpoc,1,C0034693,Rattus norvegicus,mamm,1
202,584,14055632,PART_OF,C0031678,Phosphoric Monoester Hydrolases,aapp,1,C0227308,Jejunal mucous membrane,bpoc,1
203,530,14185247,PROCESS_OF,C0015672,Fatigue,sosy,1,C0020114,Human,humn,1
204,658,13347199,LOCATION_OF,C0014876,Esophagus,bpoc,1,C0006826,Malignant Neoplasms,neop,0
205,662,14812408,TREATS,C0013804,Electrocoagulation,topp,1,C0263316,Pemphigus vegetans,dsyn,1
206,404,5698836,PART_OF,C0737240,Somatic cell,cell,1,C0025914,House mice,mamm,1
207,687,13292663,COEXISTS_WITH,C0018926,Hematemesis,patf,1,C0036330,Schistosoma mansonii infection,dsyn,1
208,612,14216908,COEXISTS_WITH,C0263661,Disorder of skeletal system,dsyn,1,C0039144,Syringomyelia,dsyn,1
209,581,12275695,LOCATION_OF,C1280344,Entire vas deferens,bpoc,1,C0332853,Anastomosis,acab,1
210,482,4959380,LOCATION_OF,C0026927,Atypical Mycobacteria,bact,1,C0014964,Ethambutol,orch,1
211,648,13930376,LOCATION_OF,C0022646,Kidney,bpoc,1,C0549453,Traumatic hematoma,inpo,1
212,626,13384313,USES,C0013819,Electroencephalography,diap,1,C0004745,Barbiturates,phsu,1
213,530,14185247,compared_with,C0053284,benzquinamide,orch,1,C0030883,Pentobarbital,orch,1
214,621,12279177,PROCESS_OF,C0006142,Malignant neoplasm of breast,neop,1,C0034716,"Rats, Wistar",mamm,1
215,404,5698836,COEXISTS_WITH,C0020687,Hypoxanthine Phosphoribosyltransferase,aapp,1,C0002583,Aminopterin,hops,1
216,705,14847743,COEXISTS_WITH,C0012242,Digestive System Disorders,dsyn,0,C0041327,"Tuberculosis, Pulmonary",dsyn,1
217,724,5776110,LOCATION_OF,C0227391,Sigmoid colon,bpoc,1,C0032962,Pregnancy Complications,dsyn,1
218,508,13867927,ASSOCIATED_WITH,C0005885,Body Composition,orga,1,C0028754,Obesity,dsyn,1
219,658,13347199,LOCATION_OF,C0014876,Esophagus,bpoc,1,C0267085,Acquired supradiaphragmatic diverticulum of esophagus,acab,1
220,588,12332367,LOCATION_OF,C1280344,Entire vas deferens,bpoc,1,C0332853,Anastomosis,acab,1
221,474,14268252,AFFECTS,C0683208,oculomotor function,ortf,1,C0001969,Alcoholic Intoxication,mobd,1
222,735,14934093,TREATS,C0700993,Resochin,phsu,1,C0024530,Malaria,dsyn,1
223,725,5729809,PROCESS_OF,C0002871,Anemia,dsyn,1,C1265425,Hookworms,invt,1
224,404,5698836,COEXISTS_WITH,C0020687,Hypoxanthine Phosphoribosyltransferase,aapp,1,C0020684,Hypoxanthine,bacs,1
225,647,5933795,TREATS,C0001962,Ethanol,phsu,1,C0012984,Canis familiaris,mamm,1
226,638,6065071,LOCATION_OF,C1281591,Entire face,bpoc,1,C0038561,Submersion,inpo,1
227,626,13384313,USES,C0013819,Electroencephalography,diap,1,C0600062,Largactil,phsu,1
228,633,14386674,LOCATION_OF,C0031066,Anogenital region,blor,1,C0043250,Injury wounds,inpo,1
229,694,4961611,USES,C1510438,Assay,lbpr,1,C0040160,Thyrotropin,aapp,1
230,482,4959380,LOCATION_OF,C0026927,Atypical Mycobacteria,bact,1,C0015021,Ethionamide,orch,1
231,661,4865111,PART_OF,C0030274,Pancreas,bpoc,1,C0021270,Infant,humn,1
232,617,14327662,PART_OF,C0021968,Iodine,bacs,1,C0007452,Cattle,mamm,1
233,674,14457924,LOCATION_OF,C0015392,Eye,bpoc,1,C0043254,"Wounds, Penetrating",inpo,1
234,647,5933795,TREATS,C0020268,Hydrocortisone,horm,1,C0012984,Canis familiaris,mamm,1
235,733,16691885,PART_OF,C0027651,Neoplasm,neop,1,C0029130,Optic Nerve,bpoc,1
236,404,5698836,COEXISTS_WITH,C0020687,Hypoxanthine Phosphoribosyltransferase,aapp,1,C0040077,Thymidine,bacs,1
237,626,13384313,compared_with,C0600062,Largactil,orch,1,C0004745,Barbiturates,orch,1
238,732,14251360,PROCESS_OF,C0597198,Performance,inbe,1,C0260267,School child,humn,1
239,750,13189560,PROCESS_OF,C0011615,"Dermatitis, Atopic",dsyn,1,C0085979,Cavia,mamm,1
240,789,13209178,TREATS,C0001632,Adrenalectomy,topp,1,C0006142,Malignant neoplasm of breast,neop,1
241,699,15394663,ISA,C0025830,Methylthiouracil,nnon,1,C0040125,Antithyroid Agents,horm,1
242,754,14055633,PART_OF,C0334108,Multiple polyps,neop,1,C0009368,Colon,bpoc,1
243,674,14457924,PROCESS_OF,C0043254,"Wounds, Penetrating",inpo,1,C0008059,Child,humn,1
244,721,6029544,PROCESS_OF,C1160618,molting cycle,orgf,1,C0023047,Larva,invt,1
245,745,14087167,ISA,C0020114,Human,grup,1,C0029235,Organism,orgm,0
246,482,4959380,TREATS,C0014964,Ethambutol,phsu,1,C0030705,Patients,podg,0
247,734,14420386,ASSOCIATED_WITH,C0014563,Epinephrine,horm,1,C0020672,"hypothermia, natural",sosy,1
248,696,5337390,PROCESS_OF,C0035203,Respiration,phsf,1,C0007450,Felis catus,mamm,1
249,741,13737741,LOCATION_OF,C0025474,Mesentery,blor,1,C0497156,Enlargement of lymph nodes,fndg,1
250,617,14327662,INTERACTS_WITH,C0001128,Acids,chem,1,C0021968,Iodine,bacs,1
251,733,16691885,PART_OF,C0027651,Neoplasm,neop,1,C0035298,Retina,bpoc,1
252,482,4959380,TREATS,C0015021,Ethionamide,phsu,1,C0030705,Patients,podg,0
253,757,20241532,LOCATION_OF,C0205054,Hepatic,blor,1,C0009368,Colon,bpoc,1
254,670,16691650,PART_OF,C0023317,"Lens, Crystalline",bpoc,1,C0015392,Eye,bpoc,1
255,715,4974223,PART_OF,C0006104,Brain,bpoc,1,C0033147,Primates,mamm,1
256,759,13100900,PART_OF,C0677930,Primary Neoplasm,neop,1,C0013303,Duodenum,bpoc,1
257,741,13737741,PROCESS_OF,C0497156,Enlargement of lymph nodes,fndg,1,C0001675,Adult,humn,1
258,762,13292664,ISA,C0012518,Dipetalonema perstans,invt,1,C0012516,Dipetalonema,invt,1
259,757,20241532,PART_OF,C0007097,Carcinoma,neop,1,C0009368,Colon,bpoc,1
260,617,14327662,INTERACTS_WITH,C0040165,Thyroxine,aapp,1,C0021968,Iodine,bacs,1
261,670,16691650,LOCATION_OF,C0023317,"Lens, Crystalline",bpoc,1,C0016658,Fracture,inpo,1
